hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H06,"H06|k=2;D=60|XT300",XT300,4458,NOINS,3853,18,-0.21650860345023107,-0.317598282115249,0.1362574617181417,-0.2348017438633347,-0.2016812402693961,-0.22369261865255302,-0.21845696505472412,0.011419672982091877
H06,"H06|k=2;D=60|XT300",XT300,4458,L10,3573,18,-0.19644621701362996,-0.26001801549026504,0.11810803246571508,-0.21345068041917561,-0.17836111568154983,-0.2023506168293015,-0.2023285248416374,0.007276798208788134
H06,"H06|k=2;D=60|XT1800",XT1800,4458,KILL,4414,18,-0.2734799930500385,-0.3891687378737376,0.059583144540099685,-0.2978295261658842,-0.2549397522081447,-0.28176941553383694,-0.2734835672885719,0.025373810602628003
H06,"H06|k=2;D=60|XT1800",XT1800,4458,PRIMARY,3853,18,-0.28736819598946906,-0.37534518453205973,0.05294575655333506,-0.3122611916292471,-0.2696925728525809,-0.29703781090343245,-0.2903482894803931,0.018686737607059436
H06,"H06|k=2;D=60|XT1800",XT1800,4458,NOINS,3853,18,-0.2889684567707441,-0.37651291145380267,0.05216714248637425,-0.3137938190752998,-0.2713064982344174,-0.298639318622807,-0.29193843502333366,0.018686737607059436
H06,"H06|k=2;D=60|XT1800",XT1800,4458,L10,3573,18,-0.26404395269274206,-0.32011052207775076,0.046739434648754546,-0.28359993569120456,-0.24738860614320562,-0.272906783163178,-0.2727696231215318,0.013154212146655471
H06,"H06|k=2;D=60|XB",XB,4458,KILL,4414,18,-0.052333479141090614,-0.3006830157703597,0.2822836429542365,-0.06481513825057571,-0.0324154926417652,-0.055591823562613496,-0.05233627434518355,0
H06,"H06|k=2;D=60|XB",XB,4458,PRIMARY,3853,18,-0.10310815868249346,-0.2721920064706387,0.22631715546327538,-0.11303853963291183,-0.08739917917335674,-0.10717391932379672,-0.10258438658800881,0.0007786140669608098
H06,"H06|k=2;D=60|XB",XB,4458,NOINS,3853,18,-0.10577377819968789,-0.27520128701274493,0.22398131326239293,-0.11583657615796332,-0.09023943983852199,-0.10983274576349646,-0.1051752378024059,0.0007786140669608098
H06,"H06|k=2;D=60|XB",XB,4458,L10,3573,18,-0.1246729164964713,-0.22997290410291168,0.17436328015673103,-0.13571694004535334,-0.10874205919471326,-0.1299625039565143,-0.12713321819078333,0.0008396305625524769
H06,"H06|k=2;D=60|XR",XR,4458,KILL,4414,18,-0.0671437629424904,-0.19611389483110292,0.2247394653375623,-0.08175348273166823,-0.04739034219395248,-0.07529285246543561,-0.06715299000237278,0.01042138649750793
H06,"H06|k=2;D=60|XR",XR,4458,PRIMARY,3853,18,-0.15473590101925389,-0.2466940175640653,0.14092914611990656,-0.17734077051160013,-0.14001425883983368,-0.1643021660929815,-0.1556761179383509,0.007267064624967558
H06,"H06|k=2;D=60|XR",XR,4458,NOINS,3853,18,-0.15703207426989554,-0.24932285116157954,0.1388528419413444,-0.179656602988448,-0.1423008002379186,-0.16660012855117756,-0.1579794803796076,0.007267064624967558
H06,"H06|k=2;D=60|XR",XR,4458,L10,3573,18,-0.16887918921572978,-0.22732718988873016,0.11307024909040023,-0.18724931609281742,-0.15407488113321088,-0.17748925419526876,-0.17496598890039772,0.00559753708368318
H06,"H06|k=2;D=60|XG",XG,4458,KILL,4414,18,-0.17895917499580308,-0.3055962389930849,0.0441776166742184,-0.19549755894874013,-0.16264173262047976,-0.18684516623234862,-0.1789665282004111,0.002718622564567286
H06,"H06|k=2;D=60|XG",XG,4458,PRIMARY,3853,18,-0.21928500519862287,-0.30572259864718215,0.04048793148196211,-0.23561908050503733,-0.20634690117598303,-0.22851918570371632,-0.2206748540519049,0.005969374513366208
H06,"H06|k=2;D=60|XG",XG,4458,NOINS,3853,18,-0.22057359014340205,-0.30642753109235304,0.04048793148196211,-0.23662758684829405,-0.20769804145071358,-0.2298021705761226,-0.22193790679969258,0.0057098364910459385
H06,"H06|k=2;D=60|XG",XG,4458,L10,3573,18,-0.21387050922727016,-0.27732197573455025,0.04114189756507137,-0.22835255729091344,-0.19819782935925573,-0.22259192803518638,-0.22015255742869724,0.00559753708368318
H06,"H06|k=2;D=600|XT60",XT60,5019,KILL,4969,18,-0.06992141825827297,-0.13413764390631203,0.30247534715234453,-0.08301416565847347,-0.05527118369956304,-0.07368885685250576,-0.06992814443023547,0.007647413966592876
H06,"H06|k=2;D=600|XT60",XT60,5019,PRIMARY,4385,18,-0.09350199007326898,-0.1307062870622179,0.2777651083238312,-0.10371484148919692,-0.08456833169875819,-0.09792494370304353,-0.0931354732207575,0.004332953249714938
H06,"H06|k=2;D=600|XT60",XT60,5019,NOINS,4385,18,-0.09627554537049678,-0.13336674404149637,0.2741163055872292,-0.10643338204839065,-0.08745182606088295,-0.10069827254835335,-0.09592404319826503,0.004332953249714938
H06,"H06|k=2;D=600|XT60",XT60,5019,L10,4086,18,-0.10351652346446881,-0.10865904531912102,0.23715124816446403,-0.1117023458896255,-0.0929222055278068,-0.10745272990793181,-0.10342330497854291,0.0026921194322075378
H06,"H06|k=2;D=600|XT300",XT300,5019,KILL,4969,18,-0.18729625940679964,-0.3158124371921795,0.15536325216341315,-0.2019471761608106,-0.17213107686636378,-0.19294890920725583,-0.1873075918137321,0.016904809820889516
H06,"H06|k=2;D=600|XT300",XT300,5019,PRIMARY,4385,18,-0.20612908036159963,-0.3028274328271677,0.14640820980615735,-0.2197249135739128,-0.19483243339262413,-0.2124338088201238,-0.20771938365972534,0.01185860889395667
